nohup: ignoring input
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /uploads/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /uploads/*filepath        --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /thumbnails/*filepath     --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /thumbnails/*filepath     --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Loaded HTML Templates (4): 
	- 
	- gallery.html
	- index.html
	- upload.html

[GIN-debug] GET    /                         --> main.main.func1 (3 handlers)
[GIN-debug] GET    /gallery                  --> main.main.func2 (3 handlers)
[GIN-debug] GET    /upload                   --> main.main.func3 (3 handlers)
[GIN-debug] POST   /upload                   --> main.main.func4 (3 handlers)
[GIN-debug] GET    /files                    --> main.main.func5 (3 handlers)
[GIN-debug] GET    /download/:filename       --> main.main.func6 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2024/07/25 - 14:30:32 | 200 |     353.648µs |  220.174.25.182 | GET      "/"
[GIN] 2024/07/25 - 14:30:34 | 200 |     507.721µs |  220.174.25.182 | GET      "/gallery"
[GIN] 2024/07/25 - 14:30:34 | 200 |     586.047µs |  220.174.25.182 | GET      "/files?page=1"
[GIN] 2024/07/25 - 14:30:41 | 200 |  6.782699088s |  220.174.25.182 | GET      "/thumbnails/4X4A8864.jpeg"
[GIN] 2024/07/25 - 14:30:43 | 200 |  9.528388396s |  220.174.25.182 | GET      "/thumbnails/4X4A8591.jpeg"
[GIN] 2024/07/25 - 14:30:45 | 200 | 10.975343704s |  220.174.25.182 | GET      "/thumbnails/124c108667c682828492e3e508ee5d9f.jpeg"
[GIN] 2024/07/25 - 14:30:47 | 200 | 12.811534228s |  220.174.25.182 | GET      "/thumbnails/785f84d0c55169afb4e203c8a60b2629.jpeg"
[GIN] 2024/07/25 - 14:30:49 | 200 | 15.530591474s |  220.174.25.182 | GET      "/thumbnails/4X4A8655.jpeg"
[GIN] 2024/07/25 - 14:30:50 | 200 |  16.32361065s |  220.174.25.182 | GET      "/thumbnails/4X4A8616.jpeg"
[GIN] 2024/07/25 - 14:31:16 | 200 |     360.137µs |    59.37.125.44 | GET      "/"
[GIN] 2024/07/25 - 14:31:17 | 200 |     399.738µs |    59.37.125.44 | GET      "/gallery"
[GIN] 2024/07/25 - 14:31:17 | 200 |     120.776µs |    59.37.125.44 | GET      "/files?page=1"
[GIN] 2024/07/25 - 14:31:17 | 304 |      61.412µs |    59.37.125.44 | GET      "/thumbnails/4X4A8655.jpeg"
[GIN] 2024/07/25 - 14:31:17 | 304 |      71.798µs |    59.37.125.44 | GET      "/thumbnails/4X4A8616.jpeg"
[GIN] 2024/07/25 - 14:31:17 | 304 |      90.251µs |    59.37.125.44 | GET      "/thumbnails/785f84d0c55169afb4e203c8a60b2629.jpeg"
[GIN] 2024/07/25 - 14:31:17 | 304 |      47.654µs |    59.37.125.44 | GET      "/thumbnails/4X4A8864.jpeg"
[GIN] 2024/07/25 - 14:31:17 | 304 |      63.741µs |    59.37.125.44 | GET      "/thumbnails/4X4A8591.jpeg"
[GIN] 2024/07/25 - 14:31:17 | 304 |      63.743µs |    59.37.125.44 | GET      "/thumbnails/124c108667c682828492e3e508ee5d9f.jpeg"
[GIN] 2024/07/25 - 14:31:43 | 200 |   40.413509ms |    59.37.125.44 | GET      "/download/4X4A8655.jpeg"
[GIN] 2024/07/25 - 14:31:56 | 200 |    17.88792ms |    59.37.125.44 | GET      "/download/4X4A8655.jpeg"
[GIN] 2024/07/25 - 14:32:16 | 200 |     307.893µs |   113.108.77.52 | GET      "/"
[GIN] 2024/07/25 - 14:32:18 | 200 |     450.883µs |   113.108.77.52 | GET      "/gallery"
[GIN] 2024/07/25 - 14:32:18 | 200 |     126.823µs |   113.108.77.52 | GET      "/files?page=1"
[GIN] 2024/07/25 - 14:32:18 | 304 |      57.503µs |   113.108.77.52 | GET      "/thumbnails/4X4A8655.jpeg"
[GIN] 2024/07/25 - 14:32:18 | 304 |      80.462µs |   113.108.77.52 | GET      "/thumbnails/4X4A8616.jpeg"
